bbl,stmt_date
1012530021,20260116
1012530021,20170115
1012530021,20200115
1012530021,20190115
1001790032,20200115
1001790032,20260116
1001790032,20200115
4050500020,20200115
4050500020,20170115
4050500020,20260116
3052190040,20260116
3052190040,20200115
3052190040,20170115
