bbl,tax_year,stmt_date,semantic_status,parse_status,market_value,assessed_value,taxable_value,estimated_property_tax,estimated_gross_income,estimated_expenses,net_operating_income,base_cap_rate_percent,overall_cap_rate_percent,market_value_source,assessed_value_source,taxable_value_source,estimated_property_tax_source,estimated_gross_income_source,estimated_expenses_source,net_operating_income_source,base_cap_rate_percent_source,overall_cap_rate_percent_source,source_pdf_path,parse_notes
1012530021,2019,20190115,valid_statement,ok,,,8344260,1052378.07,4257542.0,1534080.0,2723462.0,,7.21,missing_in_document,missing_in_document,parsed_direct,parsed_direct,parsed_direct,parsed_direct,derived,missing_in_document,parsed_direct,data/raw/1012530021/20190115_NPV.pdf,Core financial fields extracted.
1012530021,2020,20200115,valid_statement,partial,21716000,,8953470,1116766.31,,,,,,parsed_direct,missing_in_document,parsed_direct,parsed_direct,missing_in_document,missing_in_document,missing_in_document,missing_in_document,missing_in_document,data/raw/1012530021/20200115_NPV.pdf,Some financial fields extracted; others missing in doc or unmatched.
1012530021,2021,20210115,valid_statement,partial,19451000,,8752950,1073724.38,,,,,,parsed_direct,missing_in_document,parsed_direct,parsed_direct,missing_in_document,missing_in_document,missing_in_document,missing_in_document,missing_in_document,data/raw/1012530021/20210115_NPV.pdf,Some financial fields extracted; others missing in doc or unmatched.
1012530021,2022,20220115,valid_statement,ok,20420000,,9189000,1124274.15,4607317.0,2043345.0,2563972.0,,12.556,parsed_direct,missing_in_document,parsed_direct,parsed_direct,parsed_direct,parsed_direct,derived,missing_in_document,parsed_direct,data/raw/1012530021/20220115_NPV.pdf,Core financial fields extracted.
1012530021,2023,20230115,valid_statement,ok,21894000,,9852300,1208581.64,5102696.0,2352768.0,2749928.0,,12.56,parsed_direct,missing_in_document,parsed_direct,parsed_direct,parsed_direct,parsed_direct,derived,missing_in_document,parsed_direct,data/raw/1012530021/20230115_NPV.pdf,Core financial fields extracted.
1012530021,2024,20240115,valid_statement,ok,24630000,,10192348,1274247.35,4631115.0,1481957.0,3149158.0,,12.786,parsed_direct,missing_in_document,parsed_direct,parsed_direct,parsed_direct,parsed_direct,derived,missing_in_document,parsed_direct,data/raw/1012530021/20240115_NPV.pdf,Core financial fields extracted.
1012530021,2025,20250115,valid_statement,ok,23946000,,9809720,1226215.0,5114880.0,2106088.0,3008792.0,,12.565,parsed_direct,missing_in_document,parsed_direct,parsed_direct,parsed_direct,parsed_direct,derived,missing_in_document,parsed_direct,data/raw/1012530021/20250115_NPV.pdf,Core financial fields extracted.
1012530021,2026,20260116,valid_statement,ok,23611000,,10199982,1268775.76,5150241.0,2060096.0,3090145.0,,13.088,parsed_direct,missing_in_document,parsed_direct,parsed_direct,parsed_direct,parsed_direct,derived,missing_in_document,parsed_direct,data/raw/1012530021/20260116_NPV.pdf,Core financial fields extracted.
2032370067,2020,20200115,valid_statement,ok,12259000,,5130037,639869.52,3442651.0,1780000.0,1662651.0,,13.563,parsed_direct,missing_in_document,parsed_direct,parsed_direct,parsed_direct,parsed_direct,derived,missing_in_document,parsed_direct,data/raw/2032370067/20200115_NPV.pdf,Core financial fields extracted.
2032370067,2021,20210115,valid_statement,ok,10320000,,4456936,546732.34,3206106.0,1807679.0,1398427.0,,13.55,parsed_direct,missing_in_document,parsed_direct,parsed_direct,parsed_direct,parsed_direct,derived,missing_in_document,parsed_direct,data/raw/2032370067/20210115_NPV.pdf,Core financial fields extracted.
